game,reviewer_rating,positivity_ratio,first_release_date,binned_developer,genre,themes,modes
Tropical Hearts,7.0,8.5,0,Single Appearance,Role-playing (RPG),Fantasy,
Ayni Fairyland,7.0,6.0,2019,Single Appearance,Role-playing (RPG),Action,
Robot Exploration Squad,6.0,2.11,2015,Single Appearance,Adventure,Action,
Color Circle,6.0,3.17,2018,XiNFiNiTY Games,Indie,Action,
Cloaks and Capes,7.0,9.5,2022,Single Appearance,Shooter,Action,
Defendoooooor!!,5.0,0.67,2017,2-4 Appearances,Adventure,Action,
Quest of Vidhuraa,7.0,4.2,2018,Single Appearance,Adventure,Action,
Amazing Superhero Squad,5.0,1.83,2021,Single Appearance,Puzzle,Fantasy,
Five Nights At Furry's,6.0,2.3,2022,Single Appearance,Simulator,Erotic,
Charlie the Duck,6.0,2.88,2017,2-4 Appearances,Adventure,Action,
Residual,7.0,3.83,2021,Orangepixel,Platform,Action,
Heartseeker,7.0,24.0,2021,Single Appearance,Point-and-click,Action,
Extinction Eclipse,7.0,6.25,2022,Single Appearance,Strategy,Action,
In Extremis,7.0,5.4,1993,2-4 Appearances,Shooter,Science fiction,
In Extremis,7.0,5.4,2016,2-4 Appearances,Shooter,Action,
Alchemic Cutie,5.0,1.86,2021,Single Appearance,Puzzle,Action,
Inevitability,5.0,1.33,2015,2-4 Appearances,Adventure,Action,
Invasion,7.0,14.0,2018,CDIS Lab.,Indie,Action,
Invasion,7.0,14.0,2015,CDIS Lab.,Adventure,Action,
Invasion,7.0,14.0,2023,CDIS Lab.,Simulator,Action,
Invasion,7.0,14.0,1987,CDIS Lab.,Shooter,Action,
Invasion,7.0,14.0,2018,brutalsoft,Indie,Action,
Invasion,7.0,14.0,2015,brutalsoft,Adventure,Action,
Invasion,7.0,14.0,2023,brutalsoft,Simulator,Action,
Invasion,7.0,14.0,1987,brutalsoft,Shooter,Action,
Invasion,7.0,21.0,2018,CDIS Lab.,Indie,Action,
Invasion,7.0,21.0,2015,CDIS Lab.,Adventure,Action,
Invasion,7.0,21.0,2023,CDIS Lab.,Simulator,Action,
Invasion,7.0,21.0,1987,CDIS Lab.,Shooter,Action,
Invasion,7.0,21.0,2018,brutalsoft,Indie,Action,
Invasion,7.0,21.0,2015,brutalsoft,Adventure,Action,
Invasion,7.0,21.0,2023,brutalsoft,Simulator,Action,
Invasion,7.0,21.0,1987,brutalsoft,Shooter,Action,
Spell Swap,7.0,14.0,2021,Single Appearance,Fighting,Action,
Turnover,7.0,3.62,2015,Single Appearance,Adventure,Action,
Morning Never Comes,7.0,5.8,2018,Single Appearance,Indie,Action,
Ancient Frontier: Steel Shadows,6.0,2.73,2018,2-4 Appearances,Strategy,Science fiction,
Go! Go! PogoGirl,7.0,30.0,2022,Single Appearance,Platform,Action,
ChronoBreach Ultra,7.0,5.17,2022,2-4 Appearances,Shooter,Action,
Galaxy Tales: Story of Rapunzel,7.0,31.0,2021,Single Appearance,Platform,Action,
Re.Surs,7.0,6.4,2021,Single Appearance,Shooter,Action,
Pivot Pilot,7.0,8.75,2017,Single Appearance,Platform,Action,
Shooting Saucer,7.0,36.0,2023,2-4 Appearances,Indie,Action,
Gun Bombers,7.0,6.5,2016,2-4 Appearances,Indie,Action,
Tales of Cosmos,8.0,4.4,2016,Single Appearance,Adventure,Science fiction,
There Swings a Skull: Grim Tidings,7.0,44.0,2022,Single Appearance,Adventure,Horror,
Tiles,8.0,5.0,2017,2-4 Appearances,Platform,Action,
Shoot Trip Die,8.0,7.5,2022,Single Appearance,Shooter,Action,
Kingdom Gun,5.0,1.44,2022,Single Appearance,Shooter,Action,
Frail Hearts: Versicorae Domlion,7.0,11.5,2022,Single Appearance,Role-playing (RPG),Horror,
222 Hearts,8.0,4.0,2017,2-4 Appearances,Platform,Action,
Gunborg: Dark Matters,8.0,25.0,2022,Single Appearance,Shooter,Action,
Grottesco Absurdus,8.0,6.25,2018,2-4 Appearances,Adventure,Action,
Second Thoughts,6.0,2.94,0,2-4 Appearances,Indie,Horror,
Zed Survival,8.0,17.67,2018,Single Appearance,Role-playing (RPG),Action,
Castle Warriors,8.0,10.6,2023,Single Appearance,Strategy,Fantasy,
It's Kooky,8.0,19.0,2022,Single Appearance,Puzzle,Kids,
Striving for Light,6.0,3.22,2021,2-4 Appearances,Hack and slash/Beat 'em up,Action,
Ganryu 2,6.0,3.62,2022,2-4 Appearances,Platform,Action,
Fantasy General,8.0,14.75,1996,2-4 Appearances,Strategy,Fantasy,
Tobari and the Night of the Curious Moon,6.0,3.65,2011,2-4 Appearances,Platform,Action,
Thy Sword,8.0,20.67,2017,2-4 Appearances,Platform,Action,
Zero-G Gunfight,8.0,66.0,2023,Single Appearance,Fighting,Action,
Spellspire,6.0,2.56,2017,10tons Ltd,Puzzle,Educational,
Rhapsody: A Musical Adventure,8.0,14.0,1998,Nippon Ichi Software Inc.,Role-playing (RPG),Fantasy,
Puzzle Chambers,8.0,4.24,2017,2-4 Appearances,Puzzle,Mystery,
FreeHolder,6.0,3.65,2016,Single Appearance,Role-playing (RPG),Survival,
Treasures of the Aegean,8.0,8.22,2021,2-4 Appearances,Platform,Action,
Super Dangerous Dungeons,8.0,38.0,2015,Adventure Islands,Platform,Action,
Clunky Hero,8.0,5.07,2021,Single Appearance,Platform,Action,
King Oddball,8.0,11.14,2012,10tons Ltd,Puzzle,Action,
Nothing,8.0,8.78,2019,Single Appearance,Platform,Action,
MegaSphere,5.0,2.19,2015,Single Appearance,Music,Action,
Sagres,8.0,14.0,2023,Single Appearance,Role-playing (RPG),Historical,
Onii-Chan,5.0,1.27,2018,Single Appearance,Simulator,Erotic,
Misericorde: Volume One,8.0,89.0,2023,Single Appearance,Adventure,Horror,
Flower Shop: Summer In Fairbrook,5.0,2.07,2010,Winter Wolves,Simulator,Business,
The Multi-Medium,8.0,32.0,2023,Single Appearance,Platform,Action,
Moustache Mountain,6.0,2.56,2016,2-4 Appearances,Platform,Action,
Game Soup,8.0,14.57,2019,2-4 Appearances,Indie,Action,
Secret Agent HD,8.0,28.75,2021,2-4 Appearances,Platform,Action,
Lord Winklebottom Investigates,8.0,19.5,2022,Single Appearance,Point-and-click,Mystery,
Pocket Academy,8.0,10.73,2011,Kairosoft Co.Ltd,Simulator,Business,
Tres-Bashers,8.0,42.33,2021,2-4 Appearances,Platform,Action,
Photographs,8.0,5.7,2019,Single Appearance,Puzzle,Mystery,
Endless Fables 3: Dark Moor,8.0,5.91,2018,Sunward Games,Point-and-click,Kids,
Pivot XL,8.0,17.5,2018,Adamvision Studios,Indie,Action,
Hot Springs Story,8.0,9.5,2010,Kairosoft Co.Ltd,Simulator,Business,
7Days Origins,8.0,5.89,2021,Single Appearance,Point-and-click,Fantasy,
Aspire: Ina's Tale,8.0,5.59,2021,Single Appearance,Music,Drama,
The Spatials: Galactology,6.0,2.49,2016,2-4 Appearances,Role-playing (RPG),Science fiction,
Ninja Village,8.0,46.6,2013,Kairosoft Co.Ltd,Simulator,Action,
Pocket Rogues,8.0,11.33,2017,Single Appearance,Role-playing (RPG),Action,
Plunder Panic,8.0,4.92,2021,Single Appearance,Fighting,Action,
Source of Madness,6.0,3.59,2021,2-4 Appearances,Platform,Action,
Unforeseen Incidents,8.0,7.41,2018,Single Appearance,Point-and-click,Mystery,
The Shrouded Isle,6.0,2.36,2017,Single Appearance,Role-playing (RPG),Mystery,
Rabbit Hole,8.0,3.92,2022,2-4 Appearances,Shooter,Action,
Rabbit Hole,8.0,3.92,2022,Single Appearance,Shooter,Action,
Balloon Saga,4.0,0.31,2017,2-4 Appearances,Adventure,Action,
Eternal Pain: Epiphany,6.0,2.0,2020,Single Appearance,Adventure,Horror,
Double Turn,5.0,0.9,2018,Single Appearance,Fighting,Action,
Woodboy,6.0,2.25,0,Single Appearance,Adventure,Action,
Dave-Man,7.0,5.0,2020,Single Appearance,Puzzle,Action,
Tiamat's Drink,7.0,10.0,2020,Single Appearance,Indie,Action,
The Last Roman Village,5.0,1.71,2019,Single Appearance,Strategy,Survival,
HopSquash!,7.0,12.0,2019,Single Appearance,Platform,Party,
Lion Quest Infinity,7.0,4.0,2021,2-4 Appearances,Platform,Action,
Cat President 2: Purrlitical Revolution,7.0,13.0,2020,Oh a Rock! Studios,Simulator,Comedy,
Reknum Cheri Dreamland,6.0,2.6,2021,2-4 Appearances,Platform,Action,
A Day,7.0,4.67,2021,Single Appearance,Puzzle,Action,
Asteroid Fight,5.0,1.67,2018,Single Appearance,Strategy,Action,
Star Girls,7.0,7.5,2019,Single Appearance,Role-playing (RPG),Action,
Corona Borealis,5.0,2.0,2019,Winter Wolves,Simulator,Business,
12 Labours of Hercules X: Greed for Speed,6.0,2.29,2020,Jetdogs Studios,Puzzle,Fantasy,
Boulder Dash Deluxe,7.0,3.2,2021,Single Appearance,Puzzle,Action,
Dark Room,5.0,0.94,2020,2-4 Appearances,Adventure,Horror,
Kingdom Karnage,5.0,1.91,2020,Single Appearance,Strategy,Fantasy,
Disease -Hidden Object-,5.0,1.53,2018,2-4 Appearances,Point-and-click,Horror,
Boom Blaster,5.0,1.73,2020,2-4 Appearances,Shooter,Action,
Tanuki Justice,7.0,4.5,2020,Single Appearance,Platform,Action,
Black Widow: Recharged,7.0,4.5,2021,Adamvision Studios,Shooter,Action,
Elden: Path of the Forgotten,5.0,0.97,2020,Single Appearance,Role-playing (RPG),Action,
Astral Gunners,7.0,30.0,2020,Single Appearance,Indie,Action,
BigChick,7.0,31.0,2021,2-4 Appearances,Puzzle,Action,
Pale Cachexia,7.0,33.0,2021,Argent Games,Visual Novel,Fantasy,
Intrepid Izzy,7.0,17.0,2020,Single Appearance,Fighting,Action,
Lufulus' Creatures,7.0,11.67,2020,Single Appearance,Role-playing (RPG),Action,
Baby Dino Adventures,7.0,5.43,2020,Single Appearance,Platform,Action,
Flak,6.0,3.5,1984,Single Appearance,Shooter,Action,
Serious Scramblers,7.0,22.0,2018,Single Appearance,Platform,Action,
The Summoning,6.0,3.0,1992,2-4 Appearances,Puzzle,Action,
Dogurai,8.0,15.75,2019,Single Appearance,Platform,Action,
The Last Friend,8.0,16.2,2021,2-4 Appearances,Fighting,Action,
Monmusu Gladiator,8.0,16.4,2021,Single Appearance,Role-playing (RPG),Fantasy,
SantaCraft,8.0,41.5,2020,2-4 Appearances,Adventure,Sandbox,
Let's Cook Together,8.0,15.57,2020,Single Appearance,Simulator,Action,
Chessplosion,8.0,24.0,2021,Single Appearance,Puzzle,Action,
Gemini,8.0,8.86,2023,Gagonfe,Music,Romance,
Everybody Wham Wham,8.0,16.75,2021,2-4 Appearances,Music,Comedy,
Dadish,8.0,18.88,2020,2-4 Appearances,Platform,Action,
Alder's Blood: Definitive Edition,5.0,1.88,2020,Single Appearance,Role-playing (RPG),Fantasy,
Henchman Story,8.0,31.17,2021,Single Appearance,Role-playing (RPG),Action,
Bloody Rally Show,8.0,9.83,2020,2-4 Appearances,Racing,Action,
Sparklite,6.0,3.4,2019,Single Appearance,Role-playing (RPG),Action,
WarpThrough,7.0,4.5,2019,Single Appearance,Role-playing (RPG),Action,
Roko-Loko into Ratozinger's Castle,7.0,3.0,2005,Single Appearance,Platform,Action,
Super Grower,6.0,2.2,2018,2-4 Appearances,Strategy,Action,
Tetsumo Party,7.0,3.67,2019,2-4 Appearances,Sport,Action,
StretchBot,7.0,11.0,2020,Single Appearance,Platform,Action,
Heart of Smoke,7.0,6.0,2019,2-4 Appearances,Platform,Action,
Bloody trains,5.0,1.5,2019,2-4 Appearances,Simulator,Action,
Codex Temondera: Lost Vision,5.0,1.86,2019,Single Appearance,Role-playing (RPG),Fantasy,
Sack of Bots,7.0,7.0,2019,Single Appearance,Indie,Action,
Warp Glider,7.0,25.0,2018,Single Appearance,Indie,Action,
Firebase Defence,6.0,3.07,2019,Single Appearance,Strategy,Action,
Zeon 25,8.0,6.12,2020,Single Appearance,Adventure,Action,
Rift Racoon,8.0,15.5,2019,2-4 Appearances,Platform,Action,
MoonQuest,6.0,2.75,2020,Single Appearance,Platform,Action,
Lady's Hentai Mosaic,6.0,3.0,2018,2-4 Appearances,Adventure,Erotic,
Hentai Space,5.0,2.17,2018,RewindApp,Strategy,Erotic,
Hentai Hexa Mosaic,5.0,1.26,2018,2-4 Appearances,Indie,Erotic,
Horny Sekai,8.0,4.41,2021,Single Appearance,Simulator,Erotic,
Best Month Ever!,8.0,5.32,2022,Single Appearance,Point-and-click,Drama,
Arcadia,6.0,2.82,2010,Imagine,Shooter,Science fiction,
Arcadia,6.0,2.82,1983,Imagine,Shooter,Action,
Arcadia,6.0,2.82,1994,Imagine,Shooter,Action,
Arcadia,6.0,2.82,2010,Somnova Studios,Shooter,Science fiction,
Arcadia,6.0,2.82,1983,Somnova Studios,Shooter,Action,
Arcadia,6.0,2.82,1994,Somnova Studios,Shooter,Action,
Arcadia,6.0,2.82,2010,Joshyy,Shooter,Science fiction,
Arcadia,6.0,2.82,1983,Joshyy,Shooter,Action,
Arcadia,6.0,2.82,1994,Joshyy,Shooter,Action,
Arcadia,5.0,0.84,2010,Imagine,Shooter,Science fiction,
Arcadia,5.0,0.84,1983,Imagine,Shooter,Action,
Arcadia,5.0,0.84,1994,Imagine,Shooter,Action,
Arcadia,5.0,0.84,2010,Somnova Studios,Shooter,Science fiction,
Arcadia,5.0,0.84,1983,Somnova Studios,Shooter,Action,
Arcadia,5.0,0.84,1994,Somnova Studios,Shooter,Action,
Arcadia,5.0,0.84,2010,Joshyy,Shooter,Science fiction,
Arcadia,5.0,0.84,1983,Joshyy,Shooter,Action,
Arcadia,5.0,0.84,1994,Joshyy,Shooter,Action,
Puzzle Box,7.0,3.86,2016,Single Appearance,Platform,Action,
Puzzle Box,7.0,3.86,2016,Single Appearance,Platform,Action,
Puzzle Box,7.0,3.86,2016,Single Appearance,Platform,Action,
Jin Conception,5.0,0.75,2021,Single Appearance,Role-playing (RPG),Fantasy,
Bitter Belief,5.0,1.0,2022,Single Appearance,Platform,Action,
Children of Apollo,6.0,1.75,2017,Single Appearance,Adventure,Action,
Red Bit Ninja,4.0,0.35,2015,Single Appearance,Indie,Action,
The Night Christmas Ended,7.0,2.67,2016,Single Appearance,Indie,Action,
Outline,4.0,0.57,2016,XiNFiNiTY Games,Platform,Fantasy,
Outline,4.0,0.57,2018,XiNFiNiTY Games,Indie,Action,
Dragon Evo,6.0,2.0,2022,Single Appearance,Role-playing (RPG),Fantasy,
Blue Snake Adventures,5.0,1.29,2017,2-4 Appearances,Indie,Action,
All is Fair in Dust and Air,7.0,3.0,2021,Single Appearance,Role-playing (RPG),Fantasy,
Alone With You,6.0,2.25,2016,2-4 Appearances,Puzzle,Science fiction,
Alone With You,6.0,2.25,2016,BancyCo,Puzzle,Science fiction,
Alone With You,8.0,4.06,2016,2-4 Appearances,Puzzle,Science fiction,
Alone With You,8.0,4.06,2016,BancyCo,Puzzle,Science fiction,
Hell Slayer,7.0,3.33,2023,Single Appearance,Role-playing (RPG),Action,
Modest Kind,5.0,1.38,2017,2-4 Appearances,Adventure,Action,
SquareWorld Unpixeled,7.0,3.0,0,Single Appearance,Adventure,Action,
Ricochet Ranger,7.0,12.0,2022,Single Appearance,Shooter,Action,
Contact,5.0,1.5,2021,2-4 Appearances,Point-and-click,Horror,
Radon Break,7.0,13.0,2022,2-4 Appearances,Indie,Action,
Pretty Girls 2048 Strike,7.0,12.0,2022,Zoo Corporation,Puzzle,Erotic,
Spring X Elixir,5.0,1.75,2023,Single Appearance,Role-playing (RPG),Action,
Skully Pinball,5.0,0.81,2019,RewindApp,Simulator,Action,
Geometry Defense: Infinite,6.0,2.33,2018,Single Appearance,Strategy,Action,
Venus: Improbable Dream,7.0,14.0,2021,Single Appearance,Music,Drama,
Dark Dead,6.0,2.8,0,Seaborgium Entertainment,Adventure,Action,
Travel Mosaics 6: Christmas Around the World,7.0,7.5,2018,Jetdogs Studios,Puzzle,Educational,
Snowman Arena,7.0,15.0,2021,Single Appearance,Fighting,Action,
Winter With You,7.0,15.0,2022,2-4 Appearances,Simulator,Comedy,
Blow & Fly,7.0,16.0,2022,2-4 Appearances,Platform,Action,
Pretty Girls Escape,7.0,5.67,2022,Zoo Corporation,Puzzle,Erotic,
Shinobi Bad Buddies,7.0,6.0,2018,Single Appearance,Platform,Action,
Posable Heroes,7.0,9.0,2018,Single Appearance,Simulator,Action,
Paramnesia,5.0,2.0,2022,2-4 Appearances,Adventure,Thriller,
Nighthaw-X3000,7.0,6.33,2017,2-4 Appearances,Indie,Action,
Terra Flame,7.0,19.0,2022,2-4 Appearances,Shooter,Action,
Stand By Me,7.0,10.0,2021,Single Appearance,Puzzle,Action,
Magazine Mogul,7.0,10.5,2013,Kairosoft Co.Ltd,Simulator,Business,
Alpha & Beta,7.0,5.25,2018,Single Appearance,Platform,Action,
Meme Quiz,7.0,11.0,2023,Single Appearance,Quiz/Trivia,Comedy,
My Master's A Moron,7.0,5.5,2022,2-4 Appearances,Strategy,Action,
Crazy Gravity,7.0,12.0,2021,Single Appearance,Platform,Action,
Silver Grapple,7.0,8.33,2017,Single Appearance,Platform,Action,
Who Stole My Beard?,7.0,12.5,2021,Single Appearance,Point-and-click,Mystery,
Neon Souls,7.0,25.0,2021,Single Appearance,Platform,Action,
Six F and Six 0,7.0,13.0,2015,Single Appearance,Platform,Action,
Kingdom Tales,5.0,1.04,2014,Cateia Games,Role-playing (RPG),Fantasy,
Drift Stage,5.0,1.42,0,Single Appearance,Racing,Action,
Reynard,6.0,3.38,2019,Single Appearance,Role-playing (RPG),Action,
Legend of the Skyfish,5.0,1.87,2016,Single Appearance,Platform,Action,
Gamedev Beatdown,7.0,4.67,2020,Single Appearance,Role-playing (RPG),Comedy,
Project Malice,7.0,14.0,2023,Single Appearance,Indie,Action,
GhostGame,7.0,29.0,0,Single Appearance,Indie,Action,
Abduction Action! Plus,5.0,1.03,2015,2-4 Appearances,Simulator,Action,
Rush to Adventure,7.0,4.43,2017,Single Appearance,Role-playing (RPG),Action,
Brave Hero Yuusha EX,7.0,10.33,2019,2-4 Appearances,Role-playing (RPG),Fantasy,
Roar of Revenge,7.0,32.0,2021,SEEP,Platform,Action,
Egglien,7.0,32.0,2022,Single Appearance,Platform,Action,
Flem,7.0,5.5,2015,2-4 Appearances,Indie,Action,
Black Hole Hazard,7.0,6.6,2016,Single Appearance,Indie,Action,
The Wall Mustn't Fall,7.0,17.0,0,Single Appearance,Strategy,Action,
Out Zone,7.0,11.67,1990,2-4 Appearances,Shooter,Action,
Qasir al-Wasat: International Edition,7.0,3.6,2016,Single Appearance,Adventure,Action,
Crawlers and Brawlers,7.0,3.6,2016,2-4 Appearances,Role-playing (RPG),Action,
Garden Guardian,7.0,18.0,2022,Single Appearance,Indie,Action,
Burst Hero,7.0,5.57,2023,Single Appearance,Shooter,Action,
Plug Me,7.0,6.5,2018,Single Appearance,Adventure,Action,
Cosmos Bit,7.0,10.0,2022,SEEP,Platform,Action,
Buff Knight Advanced,6.0,2.41,2015,Single Appearance,Role-playing (RPG),Action,
Odium to the Core,6.0,3.42,2018,Single Appearance,Music,Action,
Dead Man's Rest,7.0,21.0,2021,Single Appearance,Visual Novel,Mystery,
Illuminaria,7.0,11.0,2022,2-4 Appearances,Simulator,Fantasy,
Role of Hex,8.0,4.18,2021,Single Appearance,Real Time Strategy (RTS),Science fiction,
Triple Take,7.0,22.5,2022,Single Appearance,Adventure,Action,
Fallen Legion: Rise to Glory,5.0,1.71,2018,2-4 Appearances,Role-playing (RPG),Action,
Fhtagn! - Tales of the Creeping Madness,8.0,16.0,2018,Single Appearance,Adventure,Party,
Dead Dust,5.0,2.12,2018,Single Appearance,Shooter,Action,
Maidens of a Hollow Dream,6.0,3.19,2018,2-4 Appearances,Shooter,Action,
Kovox Pitch,8.0,10.4,2022,2-4 Appearances,Music,Action,
The Mensional,8.0,10.4,2022,Single Appearance,Platform,Action,
Fostering Apocalypse,8.0,13.5,2021,Single Appearance,Adventure,Fantasy,
Covid Simulator,8.0,3.93,0,2-4 Appearances,Simulator,Survival,
Super Rad Raygun,8.0,7.38,2016,Single Appearance,Platform,Action,
Veil of Dust: A Homesteading Game,8.0,19.67,2022,Single Appearance,Role-playing (RPG),Fantasy,
Steel Vampire,8.0,10.67,2018,2-4 Appearances,Indie,Action,
Swaps and Traps,8.0,23.33,2017,Single Appearance,Platform,Action,
Super Glitter Rush,8.0,24.0,2021,Single Appearance,Shooter,Action,
Blood Nova,8.0,18.25,2022,2-4 Appearances,Point-and-click,Science fiction,
Sakura Succubus 5,8.0,6.91,2022,Winged Cloud,Adventure,Fantasy,
Kamifuda,8.0,9.75,2022,Single Appearance,Strategy,Horror,
Aura of Worlds,8.0,15.8,2018,Single Appearance,Platform,Action,
An Outcry,8.0,11.43,2022,Single Appearance,Role-playing (RPG),Horror,
Cyclo Chambers,8.0,5.0,2023,Single Appearance,Shooter,Action,
Final Profit: A Shop RPG,8.0,19.8,2023,Single Appearance,Role-playing (RPG),Fantasy,
Balthazar's Dream,8.0,7.21,2017,Single Appearance,Platform,Action,
Zool Redimensioned,8.0,27.0,2021,Single Appearance,Platform,Action,
Arcade Spirits: The New Challengers,8.0,13.5,2022,2-4 Appearances,Role-playing (RPG),Comedy,
Basements n' Basilisks: Storms of Sorcery,8.0,18.17,2023,Single Appearance,Role-playing (RPG),Fantasy,
Pets at Work,8.0,12.89,2022,Nibb Games,Platform,Comedy,
Lichtspeer,8.0,4.41,2016,2-4 Appearances,Sport,Action,
Sand:box,8.0,15.62,2015,Single Appearance,Simulator,Sandbox,
Fishing Vacation,8.0,44.0,2020,Single Appearance,Adventure,Horror,
Right and Down,8.0,5.0,2022,mc2games,Puzzle,Fantasy,
Grotto,8.0,12.15,2021,2-4 Appearances,Point-and-click,Fantasy,
Astatos,8.0,4.41,2021,Single Appearance,Strategy,Fantasy,
Critadel,8.0,5.35,2021,Single Appearance,Platform,Action,
The Forest of Drizzling Rain,8.0,39.6,2022,Vaka Game Magazine,Role-playing (RPG),Horror,
Haimrik,8.0,5.0,2018,Single Appearance,Platform,Action,
Seventh Lair,8.0,19.27,2022,2-4 Appearances,Adventure,Drama,
The World Next Door,8.0,4.83,2019,2-4 Appearances,Puzzle,Action,
Mission in Snowdriftland,8.0,27.0,2021,Single Appearance,Platform,Action,
Figment 2: Creed Valley,8.0,41.67,2023,Bedtime Digital Games,Music,Action,
The Tarnishing of Juxtia,5.0,2.22,2022,2-4 Appearances,Platform,Action,
Has-Been Heroes,6.0,3.15,2017,Frozenbyte,Role-playing (RPG),Action,
Garlic,8.0,10.18,2021,2-4 Appearances,Platform,Action,
Lost,8.0,4.28,2019,Matthew Mepstead,Puzzle,Action,
Lost,8.0,4.28,2018,Matthew Mepstead,Adventure,Action,
Lost,8.0,4.28,2007,Matthew Mepstead,Adventure,Action,
Lost,8.0,4.28,2019,DSGame,Puzzle,Action,
Lost,8.0,4.28,2018,DSGame,Adventure,Action,
Lost,8.0,4.28,2007,DSGame,Adventure,Action,
Lost,8.0,4.28,2019,Tiny Beluga,Puzzle,Action,
Lost,8.0,4.28,2018,Tiny Beluga,Adventure,Action,
Lost,8.0,4.28,2007,Tiny Beluga,Adventure,Action,
Lost,8.0,4.28,2019,RewindApp,Puzzle,Action,
Lost,8.0,4.28,2018,RewindApp,Adventure,Action,
Lost,8.0,4.28,2007,RewindApp,Adventure,Action,
Lost,8.0,4.28,2019,Matthew Mepstead,Puzzle,Action,
Lost,8.0,4.28,2018,Matthew Mepstead,Adventure,Action,
Lost,8.0,4.28,2007,Matthew Mepstead,Adventure,Action,
Lost,8.0,4.28,2019,DSGame,Puzzle,Action,
Lost,8.0,4.28,2018,DSGame,Adventure,Action,
Lost,8.0,4.28,2007,DSGame,Adventure,Action,
Lost,8.0,4.28,2019,Tiny Beluga,Puzzle,Action,
Lost,8.0,4.28,2018,Tiny Beluga,Adventure,Action,
Lost,8.0,4.28,2007,Tiny Beluga,Adventure,Action,
Lost,8.0,4.28,2019,RewindApp,Puzzle,Action,
Lost,8.0,4.28,2018,RewindApp,Adventure,Action,
Lost,8.0,4.28,2007,RewindApp,Adventure,Action,
Lost,4.0,0.58,2019,Matthew Mepstead,Puzzle,Action,
Lost,4.0,0.58,2018,Matthew Mepstead,Adventure,Action,
Lost,4.0,0.58,2007,Matthew Mepstead,Adventure,Action,
Lost,4.0,0.58,2019,DSGame,Puzzle,Action,
Lost,4.0,0.58,2018,DSGame,Adventure,Action,
Lost,4.0,0.58,2007,DSGame,Adventure,Action,
Lost,4.0,0.58,2019,Tiny Beluga,Puzzle,Action,
Lost,4.0,0.58,2018,Tiny Beluga,Adventure,Action,
Lost,4.0,0.58,2007,Tiny Beluga,Adventure,Action,
Lost,4.0,0.58,2019,RewindApp,Puzzle,Action,
Lost,4.0,0.58,2018,RewindApp,Adventure,Action,
Lost,4.0,0.58,2007,RewindApp,Adventure,Action,
The Skylia Prophecy,4.0,0.5,2020,Single Appearance,Platform,Action,
Actor Tycoon 2,4.0,0.5,2021,Single Appearance,Simulator,Comedy,
Outpost Delta,7.0,2.67,2020,2-4 Appearances,Platform,Action,
Mimicry,8.0,4.47,2022,Single Appearance,Indie,Action,
Mimicry,8.0,4.47,2022,Euphoria Games,Indie,Action,
Mimicry,8.0,4.47,2022,Single Appearance,Indie,Action,
Tales of the Black Death,6.0,2.0,2021,Single Appearance,Role-playing (RPG),Horror,
REalM: Walk of Soul,7.0,4.5,2021,Single Appearance,Puzzle,Horror,
Amora Crystal,7.0,3.0,0,Single Appearance,Adventure,Action,
Classic Snake Adventures,7.0,4.5,2019,2-4 Appearances,Strategy,Action,
Necrolance,7.0,3.67,2019,Single Appearance,Adventure,Action,
My Haunted Doll,6.0,2.2,2019,Anamik Majumdar,Adventure,Horror,
Shapeshooter,5.0,1.1,2020,NukGames,Shooter,Action,
Delta0,7.0,12.0,2020,Single Appearance,Puzzle,Educational,
Legend of Krannia: Cursed Fate,7.0,4.0,2021,Single Appearance,Role-playing (RPG),Action,
Diesel Attack,7.0,4.33,2019,Single Appearance,Adventure,Action,
Hellcraze,7.0,13.0,2021,2-4 Appearances,Shooter,Action,
Lurkers,7.0,7.0,2020,Single Appearance,Indie,Thriller,
Miko Adventures Puffball,7.0,15.0,2021,Single Appearance,Platform,Action,
Revenge on the Streets,7.0,8.0,0,Single Appearance,Indie,Action,
Alisa Quest,5.0,1.78,2020,Single Appearance,Role-playing (RPG),Erotic,
XPock,6.0,2.67,2021,Dnovel,Adventure,Action,
Aisling and the Tavern of Elves,6.0,2.12,0,2-4 Appearances,Indie,Erotic,
Spooky Typing: The Ghost Plague,7.0,5.67,2021,Sensen Games,Indie,Action,
Rolling Adventure,7.0,9.5,2021,Single Appearance,Platform,Action,
ChessLocke,7.0,5.0,2021,Single Appearance,Role-playing (RPG),Fantasy,
Guild of Darksteel,6.0,2.2,2021,Single Appearance,Platform,Fantasy,
Throw Me in the River,7.0,7.0,2020,Single Appearance,Indie,Drama,
Legends of Ethernal,7.0,7.67,2020,Single Appearance,Platform,Action,
Café Rouge,5.0,0.79,2020,Single Appearance,Simulator,Horror,
The Cult: Marduk's Longest Night,7.0,5.75,2019,Single Appearance,Adventure,Horror,
Sword Game,7.0,4.6,2020,Single Appearance,Indie,Action,
ConnecTank,7.0,5.75,2021,2-4 Appearances,Puzzle,Action,
Dice Rollers,5.0,2.0,2021,Single Appearance,Adventure,Fantasy,
Nosferatu Lilinor,7.0,5.2,2019,Single Appearance,Platform,Action,
Soul of Giga,6.0,2.36,2021,Single Appearance,Role-playing (RPG),Action,
Yumeutsutsu Re:Idol,7.0,9.0,2020,KOGADO STUDIO,Adventure,Action,
Eggnog Incorporated,7.0,13.5,2020,Single Appearance,Simulator,Comedy,
