game,reviewer_rating,positivity_ratio,first_release_date,game_modes,genres,themes,developer_Scott Cawthon,developer_Tero Lunkka,binned_developer_encoded
Dap,8.0,16.5,2021,1,31,1,0,0,341
Pocket League Story,8.0,9.9,2011,1,13,28,0,0,195
Venture Towns,8.0,7.36,2011,1,13,28,0,0,195
Robot Wants It All,8.0,8.46,2019,1,8,1,0,0,341
Arcane Vale,8.0,5.5,2022,1,12,1,0,0,3
Gunvein,8.0,37.0,2022,1,5,1,0,0,341
Mega Mall Story,8.0,23.4,2011,1,9,28,0,0,195
Yomawari: Lost in the Dark,8.0,10.71,2022,1,9,19,0,0,262
Treadnauts,8.0,8.05,2018,1,4,1,0,0,3
Anglerfish,8.0,7.0,2022,1,31,1,0,0,3
Super Alloy Ranger,8.0,9.78,2022,1,5,1,0,0,341
Mobmania,8.0,5.4,2022,1,32,1,0,0,341
Russian Subway Dogs,8.0,45.0,2018,1,32,1,0,0,3
Lucy Dreaming,8.0,75.67,2022,1,2,27,0,0,3
Seven Wonders of St. Clementine,3.0,0.1,2020,1,32,19,0,0,341
Vortex,4.0,0.22,2015,2,5,1,0,0,3
Vortex,4.0,0.22,1994,1,5,1,0,0,3
Vortex,4.0,0.22,2015,2,5,1,0,0,3
Vortex,4.0,0.22,1994,1,5,1,0,0,3
Vortex,4.0,0.22,2015,2,5,1,0,0,3
Vortex,4.0,0.22,1994,1,5,1,0,0,3
Nubla,5.0,0.57,2016,1,8,1,0,0,3
God Hates Us,5.0,1.4,2020,1,8,18,0,0,341
Hanapon Princess,4.0,0.58,2020,1,13,44,0,0,3
Modest Hero,5.0,1.14,2020,1,31,1,0,0,341
Flaky Bakery,7.0,3.0,2020,1,15,27,0,0,3
Coof Attack,7.0,3.0,2020,1,12,1,0,0,341
Rising Noracam,7.0,3.33,2021,1,8,1,0,0,3
Henry Mosse and the Wormhole Conspiracy,7.0,5.5,2021,1,2,18,0,0,341
Helix,7.0,4.0,2008,1,7,18,0,0,185
Helix,7.0,4.0,2014,1,5,1,0,0,185
Helix,7.0,4.0,2008,1,7,18,0,0,75
Helix,7.0,4.0,2014,1,5,1,0,0,75
Helix,7.0,4.0,2008,1,7,18,0,0,73
Helix,7.0,4.0,2014,1,5,1,0,0,73
Helix,7.0,4.0,2008,1,7,18,0,0,185
Helix,7.0,4.0,2014,1,5,1,0,0,185
Helix,7.0,4.0,2008,1,7,18,0,0,75
Helix,7.0,4.0,2014,1,5,1,0,0,75
Helix,7.0,4.0,2008,1,7,18,0,0,73
Helix,7.0,4.0,2014,1,5,1,0,0,73
Helix,7.0,4.0,2008,1,7,18,0,0,185
Helix,7.0,4.0,2014,1,5,1,0,0,185
Helix,7.0,4.0,2008,1,7,18,0,0,75
Helix,7.0,4.0,2014,1,5,1,0,0,75
Helix,7.0,4.0,2008,1,7,18,0,0,73
Helix,7.0,4.0,2014,1,5,1,0,0,73
Damaged In Transit,7.0,12.0,2020,1,9,1,0,0,341
Umihara Kawase Fresh!,5.0,1.33,2019,1,8,1,0,0,365
Dungeon Limbus,5.0,1.5,2020,1,12,1,0,0,341
Labyrinth of the Chaka King,7.0,13.0,2020,1,8,1,0,0,341
Prehistoric Dude,7.0,4.33,2020,1,8,1,0,0,434
Beast Agenda 2030,7.0,7.0,2019,1,12,1,0,0,3
Portal Dogs,7.0,3.5,2020,1,8,1,0,0,341
Beholder's Lair,7.0,4.67,2021,1,8,1,0,0,341
Dungeons of Clay,6.0,3.0,2020,1,5,1,0,0,3
Lotus Bloom,7.0,8.0,2021,1,9,34,0,0,341
Exile Squadron,7.0,4.25,2019,1,32,1,0,0,341
Vortex Attack EX,7.0,4.25,2019,1,5,1,0,0,3
Super Gear Quest,7.0,4.25,2020,1,8,1,0,0,341
Click Legends,5.0,1.12,2019,1,12,17,0,0,341
Rangok Skies,5.0,2.0,2021,1,5,1,0,0,3
Star Hunter DX,7.0,4.5,2021,1,5,1,0,0,3
Rift Adventure,6.0,3.17,2021,1,8,1,0,0,341
Snow Jewels,6.0,2.22,2019,1,15,1,0,0,3
Rotatex,6.0,2.22,2019,1,31,1,0,0,103
Geometry Hero,7.0,10.0,2020,1,32,1,0,0,341
AeternoBlade,5.0,1.67,2014,1,8,1,0,0,341
Josie's Tank,7.0,21.0,0,1,15,1,0,0,341
Kana Quest,7.0,10.5,2020,1,9,34,0,0,341
Miracle Mia,7.0,7.33,2019,1,14,1,0,0,341
A Night at the Races,7.0,7.67,2019,1,8,1,0,0,341
Enter Digiton,7.0,3.43,2020,1,8,1,0,0,341
Sanae Toumaden X,7.0,4.17,2021,1,8,1,0,0,341
Moi Mei,5.0,1.93,2019,1,31,1,0,0,103
Ghost Dimension,7.0,29.0,2020,1,10,1,0,0,3
Touhou DollDraft,6.0,2.64,2021,1,9,17,0,0,341
Moonrise Fall,7.0,10.0,2019,1,9,1,0,0,341
Artifact Adventure Gaiden DX,7.0,6.0,2019,1,12,1,0,0,3
Top Run,7.0,10.0,2020,1,8,1,0,0,341
Locked,6.0,3.33,2020,1,31,44,0,0,341
Shot in the Dark,7.0,32.0,2021,1,2,1,0,0,3
Shot in the Dark,7.0,32.0,2015,2,5,1,0,0,3
Four Rendezvous,7.0,6.8,2020,1,31,44,0,0,341
The Shadow You,7.0,6.8,2021,1,9,1,0,0,341
The Adventures of Ten and Till,7.0,17.5,2016,1,5,1,0,0,341
Habroxia 2,7.0,7.2,2021,1,5,1,0,0,3
Coronavirus Evolution,7.0,7.4,2020,1,5,1,0,0,3
Bob Help Them,7.0,18.5,2020,1,15,34,0,0,151
Drawy,7.0,6.17,2021,2,26,40,0,0,3
Lichtspeer: Double Speer Edition,7.0,4.75,2017,1,5,1,0,0,3
Fighters Wizards,7.0,4.75,2020,2,15,1,0,0,341
Verse Surf,6.0,2.92,2020,2,7,40,0,0,341
Watermelon Blocks,7.0,38.0,2021,1,8,1,0,0,341
Sacrificial Lighthouse,7.0,5.86,2021,1,9,20,0,0,341
YesterMorrow,6.0,2.33,2020,1,8,1,0,0,341
Swords & Bones,7.0,21.0,2021,1,4,1,0,0,322
Lotus Reverie: First Nexus,8.0,4.4,2021,1,12,21,0,0,3
Trollhunters: Defenders of Arcadia,6.0,3.0,2020,1,8,1,0,0,406
Void Tyrant,8.0,4.18,2019,1,12,18,0,0,341
Street Cleaner: The Video Game,8.0,16.0,2021,1,8,1,0,0,3
Ninja Girl and the Mysterious Army of Urban Legend Monsters! ~Hunt of the Headless Horseman~,8.0,7.43,2019,1,32,1,0,0,3
ReversEstory,8.0,6.11,2021,1,5,1,0,0,341
Dadish 2,8.0,29.5,2021,1,8,1,0,0,3
Last Regiment,8.0,11.5,2020,1,15,1,0,0,341
IncrediMarble,8.0,12.0,2020,1,13,33,0,0,341
Nongunz: Doppelganger Edition,5.0,2.05,2021,1,5,1,0,0,3
Burning Knight,6.0,3.43,2020,1,5,1,0,0,341
Super Cable Boy,8.0,27.33,2020,1,8,1,0,0,3
Boss Rush: Mythology,6.0,3.71,2020,1,4,1,0,0,341
CosmoDreamer,8.0,46.0,2020,1,5,1,0,0,3
Radical Rabbit Stew,8.0,18.83,2020,1,9,1,0,0,3
WarriOrb,8.0,4.41,2020,1,8,1,0,0,341
AshenForest,8.0,16.2,2020,1,12,1,0,0,341
Apple Slash,8.0,23.88,2020,1,12,1,0,0,3
Nine Witches: Family Disruption,8.0,10.61,2020,1,2,1,0,0,341
Sunblaze,8.0,11.67,2021,1,8,1,0,0,341
Lakeview Valley,8.0,5.21,2019,1,12,19,0,0,3
Telecube Nightmare,7.0,3.67,2019,1,8,1,0,0,3
HalloweenStory,7.0,3.0,2019,1,31,1,0,0,103
Fair Deal: Las Vegas,7.0,18.0,2018,1,32,1,0,0,341
Doughlings: Invasion,6.0,3.0,2019,1,5,1,0,0,3
Gods of Love: An Otome Visual Novel,5.0,1.86,2020,1,13,44,0,0,341
Cat Lady,7.0,6.2,2019,1,31,1,0,0,3
BalloonBoyBob,7.0,10.33,2020,1,31,1,0,0,3
Elizabeth,8.0,5.62,2020,1,9,31,0,0,341
Owyn's Adventure,8.0,25.5,2018,1,8,1,0,0,341
Hard Times,8.0,8.5,2020,1,13,1,0,0,341
My University Girlfriend,8.0,5.93,2021,1,13,42,0,0,341
Pixel Hentai Mosaic,6.0,3.28,2018,1,12,42,0,0,3
Tetris Girls,5.0,0.78,2022,1,10,42,0,0,341
Checkmate Kings,7.0,15.0,2023,1,14,1,0,0,341
Inertia,8.0,5.55,2017,1,8,1,0,0,341
Inertia,8.0,5.55,2017,1,8,1,0,0,3
Colonization of the Moon,4.0,0.22,2018,1,32,1,0,0,3
Edgar,5.0,1.62,2016,1,31,1,0,0,341
Edgar,5.0,1.62,2016,1,31,1,0,0,3
Crystal Chip Collector,4.0,0.44,2016,1,32,1,0,0,3
Go! Go! Radio : 8-Bit Edition,4.0,0.45,2017,1,32,1,0,0,3
Super Space Jump Man,5.0,0.71,2019,1,32,1,0,0,3
Hidden Map,4.0,0.38,2022,1,13,1,0,0,167
Mosaics Galore. Challenging journey,5.0,0.6,2018,1,9,1,0,0,78
Sword Bros,5.0,0.88,2017,2,4,1,0,0,341
Moonfall Ultimate,4.0,0.54,2018,1,12,1,0,0,130
Agartha,6.0,1.75,2017,1,8,1,0,0,3
Agartha,6.0,1.75,0,1,31,19,0,0,3
Inklings,6.0,2.0,2016,1,15,1,0,0,341
Heart. Papers. Border.,7.0,2.67,2017,1,13,18,0,0,341
Lovely Kitchen,5.0,0.8,2009,1,15,28,0,0,304
Kingdom Tales 2,5.0,1.0,2014,1,13,22,0,0,62
Vanquish: The Adventures of Lady Exton,5.0,1.5,2016,1,31,1,0,0,341
Ninja Striker!,7.0,4.5,2018,1,12,1,0,0,3
Exoder,7.0,3.0,2018,1,8,1,0,0,3
Supaplex WOW!,7.0,4.5,2022,1,8,1,0,0,3
Frisbros,7.0,4.5,2022,1,9,1,0,0,341
Tumble,7.0,4.5,2010,1,9,27,0,0,341
Vibrant,7.0,5.0,2017,1,32,1,0,0,341
Zombie Murder Hell Arrives,5.0,1.11,2018,1,32,1,0,0,126
The Village,7.0,10.0,2017,1,15,1,0,0,3
The Village,7.0,10.0,2021,1,9,17,0,0,3
The Village,7.0,10.0,2017,1,15,1,0,0,346
The Village,7.0,10.0,2021,1,9,17,0,0,346
The Village,5.0,1.0,2017,1,15,1,0,0,3
The Village,5.0,1.0,2021,1,9,17,0,0,3
The Village,5.0,1.0,2017,1,15,1,0,0,346
The Village,5.0,1.0,2021,1,9,17,0,0,346
Romino's Adventure,7.0,10.0,2021,1,8,17,0,0,341
Mechabot Defender,7.0,5.0,2022,1,32,1,0,0,341
Trigger Henry,7.0,10.0,2022,1,31,1,0,0,341
Crazy Clown,7.0,10.0,2023,1,12,1,0,0,3
Magnetta,5.0,1.38,2016,1,8,1,0,0,3
Space Waver,7.0,5.5,2017,1,31,1,0,0,3
Cyberoque,5.0,1.38,2017,1,31,1,0,0,103
Baby Redemption,6.0,2.75,2019,1,31,1,0,0,3
Radical Rex,6.0,2.2,1994,1,8,1,0,0,39
Zombie Scrapper,7.0,3.67,2019,1,5,1,0,0,3
Rainbow Laser Disco Dungeon,7.0,5.5,2021,1,5,1,0,0,3
Devastator,6.0,2.2,2022,1,5,1,0,0,3
Puzzle Battler! Mirai,7.0,5.5,2022,1,4,1,0,0,341
Destinesia,6.0,2.75,0,1,31,1,0,0,341
Enionax,6.0,2.75,2022,1,8,27,0,0,341
Hyper Shapes,6.0,2.75,2023,1,32,1,0,0,341
Deadfall Tropics,7.0,12.0,2018,1,32,1,0,0,341
Astral Flux,7.0,4.0,2022,1,8,1,0,0,3
Circus Pocus,7.0,6.0,2021,1,31,1,0,0,171
Jump Challenge!,7.0,12.0,2022,1,8,1,0,0,3
Tribu,7.0,4.0,0,1,31,1,0,0,341
Blindia,7.0,12.0,2018,1,32,1,0,0,3
Super Jet Juck,6.0,2.6,2018,1,31,1,0,0,103
Back to 1998,6.0,2.17,2019,1,2,27,0,0,341
2D Baseball Duel,7.0,6.5,2021,1,14,1,0,0,341
My Mad Scientist Roommate Turned Me Into Her Personal Robotic Battle Maiden?!?,7.0,13.0,2022,1,12,17,0,0,341
Moonflower,7.0,13.0,2023,1,13,17,0,0,341
Mutant Mudds Super Challenge,7.0,7.0,2016,1,8,1,0,0,341
Gunnihilation,7.0,14.0,2016,1,32,1,0,0,341
Intrusion Protocol,7.0,7.0,2017,1,32,1,0,0,341
Endocrisis,7.0,14.0,2021,1,5,1,0,0,341
Golden Force,5.0,1.27,2021,1,8,1,0,0,3
Scrap Riders,7.0,7.0,2023,1,4,1,0,0,3
Wormhole,7.0,14.0,2022,1,8,18,0,0,341
Oh Sheep!,7.0,14.0,2022,1,32,1,0,0,3
Oh Sheep!,7.0,14.0,2022,1,32,1,0,0,3
Oh Sheep!,7.0,14.0,2022,1,32,1,0,0,3
Oh Sheep!,7.0,14.0,2022,1,32,1,0,0,3
Hungry Caveman,6.0,2.8,2023,1,8,1,0,0,3
Heckpoint,7.0,7.5,2017,1,25,1,0,0,341
SixCubes,6.0,2.5,2019,1,31,1,0,0,103
We See You,7.0,15.0,2022,1,32,1,0,0,341
Ravage Road,5.0,1.15,2022,1,15,17,0,0,341
Trespassers,7.0,3.2,2017,1,5,1,0,0,341
Kate's Test,7.0,4.0,2018,1,12,1,0,0,341
AstroViking,7.0,8.0,2018,1,32,1,0,0,3
1-Bit Revival: The Residuals of Null,7.0,8.0,2019,1,32,1,0,0,341
Slime's Journey,7.0,16.0,2021,1,8,1,0,0,434
Memetric: Final Lifeforms,7.0,5.33,2021,1,15,18,0,0,341
A Clockwork Ley-Line: Flowers Falling in the Morning Mist,7.0,16.0,2015,1,31,17,0,0,341
The Last Craftsman,7.0,16.0,2022,1,12,17,0,0,341
Claus Adventure,6.0,2.12,2022,1,8,1,0,0,341
Donut Arena,7.0,17.0,2022,1,32,1,0,0,341
Astrohazard Solutions Ltd.,7.0,18.0,2017,1,31,1,0,0,341
Sanatorium Purgatorium,6.0,2.38,2018,1,32,42,0,0,341
Caveman Chuck,7.0,9.5,2018,1,8,1,0,0,3
Give Me Your Coins,6.0,3.17,2018,1,31,1,0,0,362
Wisly and the Chickens!,7.0,19.0,2021,1,8,1,0,0,341
Kairobotica,7.0,9.5,2012,1,12,18,0,0,195
Epic Astro Story,7.0,19.0,2011,1,9,18,0,0,195
Garbage Pail Kids: Mad Mike and the Quest for Stale Gum,7.0,19.0,2022,1,8,1,0,0,341
Space Cat,7.0,10.0,2016,1,31,1,0,0,3
ARK BOX Unlimited,7.0,3.33,2016,1,32,1,0,0,3
FlatFatCat,7.0,3.33,2017,1,32,1,0,0,3
Ellen,7.0,4.0,2019,1,8,1,0,0,341
Captain Disaster in: Death Has A Million Stomping Boots,7.0,20.0,2017,1,2,18,0,0,341
Reverse Defenders,5.0,1.82,2021,1,15,17,0,0,341
Plague Breaker,7.0,10.0,0,1,31,1,0,0,341
Bullet Casters,7.0,21.0,2023,1,32,17,0,0,341
Pretty Girls Speed,7.0,20.0,2022,1,16,42,0,0,422
Gigant,7.0,3.33,2022,1,2,19,0,0,3
The Cleaner,7.0,3.33,2022,1,32,44,0,0,356
The Cleaner,7.0,3.33,2022,1,5,1,0,0,356
The Cleaner,7.0,3.33,2022,1,32,44,0,0,3
The Cleaner,7.0,3.33,2022,1,5,1,0,0,3
The Cleaner,5.0,1.74,2022,1,32,44,0,0,356
The Cleaner,5.0,1.74,2022,1,5,1,0,0,356
The Cleaner,5.0,1.74,2022,1,32,44,0,0,3
The Cleaner,5.0,1.74,2022,1,5,1,0,0,3
Eternal Return,5.0,1.31,2017,1,31,1,0,0,260
Eternal Return,5.0,1.31,2020,2,15,1,0,0,260
Eternal Return,5.0,1.31,2017,1,31,1,0,0,281
Eternal Return,5.0,1.31,2020,2,15,1,0,0,281
Eternal Return,6.0,3.72,2017,1,31,1,0,0,260
Eternal Return,6.0,3.72,2020,2,15,1,0,0,260
Eternal Return,6.0,3.72,2017,1,31,1,0,0,281
Eternal Return,6.0,3.72,2020,2,15,1,0,0,281
Baseball Riot,6.0,2.33,2015,1,9,27,0,0,1
The Lost and The Wicked,7.0,4.2,2021,1,5,1,0,0,341
Retired Men's Nude Beach Volleyball League,7.0,21.0,2021,1,14,31,0,0,3
Windmills,7.0,4.2,2023,1,31,1,0,0,341
Cryptid Coffeehouse,7.0,11.5,2022,1,13,44,0,0,341
Timothy and the Tower of Mu,6.0,2.75,2022,1,8,1,0,0,3
Kiss the Demiurge,7.0,22.0,2022,1,32,27,0,0,341
Seaberry Keep,7.0,22.0,2022,1,2,17,0,0,341
Reverse x Reverse,7.0,11.5,2015,1,8,1,0,0,3
Blind Date,7.0,5.75,2019,1,13,19,0,0,341
Yokai Hunter Shintaro,6.0,2.88,2022,1,31,1,0,0,341
The Alchemist of Ars Magna,7.0,3.43,2023,1,12,1,0,0,341
Where Are My Friends?,7.0,4.17,2017,1,2,1,0,0,341
Merrily Perilly,7.0,6.25,2018,1,9,17,0,0,341
Paperbound,7.0,6.5,2015,1,4,1,0,0,341
Squids Odyssey,7.0,6.5,2014,1,9,1,0,0,3
Gravity Ace,7.0,13.0,2020,1,32,1,0,0,341
Zero Wing,7.0,8.67,1989,1,5,1,0,0,3
Azuran Tales: Trials,6.0,2.45,2018,1,8,1,0,0,341
Guilt Battle Arena,7.0,4.0,2018,1,4,1,0,0,341
Lazy Galaxy: Rebel Story,7.0,7.25,2018,1,5,1,0,0,3
Gravitators,7.0,28.0,2021,1,5,1,0,0,341
Seven Deadly Dates,7.0,9.33,2022,1,31,44,0,0,341
Sakura Succubus 7,7.0,29.0,2023,1,13,42,0,0,410
Tales of the Tiny Planet,7.0,4.14,2017,1,9,18,0,0,3
Butterfly,7.0,7.25,2019,1,8,1,0,0,341
Chroma Chronicles,7.0,14.5,0,2,4,17,0,0,341
I.F.O,7.0,30.0,2017,1,5,1,0,0,341
Knights of Tartarus,7.0,5.0,2019,1,9,17,0,0,341
Airoheart,5.0,1.63,2022,1,12,1,0,0,341
The Adventures of Poppe,7.0,3.88,2022,1,4,1,0,0,341
Bubbles the Cat,7.0,16.0,2019,1,8,1,0,0,341
Fairy Knights,7.0,5.33,2018,1,9,1,0,0,341
Legend of Chilli Tree,7.0,16.0,2021,1,31,1,0,0,341
Schildmaid MX,7.0,11.0,2021,1,5,1,0,0,341
Hunter's Legacy,6.0,2.27,2016,1,8,1,0,0,3
The Neon Boy,7.0,6.8,2018,1,8,1,0,0,341
Oliver's Adventures in the Fairyland,7.0,5.67,2019,1,8,1,0,0,341
Risk System,7.0,11.33,2019,1,5,1,0,0,341
Trophy Chaser,7.0,8.75,2022,1,8,1,0,0,341
Haiki,7.0,35.0,2021,1,8,1,0,0,341
Card Crawl Adventure,7.0,6.0,2022,1,32,17,0,0,3
Spooky Ghosts Dot Com,7.0,5.29,2018,1,8,1,0,0,341
Gnomes Garden: Christmas Story,7.0,38.0,2018,1,15,35,0,0,3
Move 78,7.0,12.33,2022,1,9,19,0,0,341
Water Physics Simulation,7.0,4.22,2021,1,13,33,0,0,341
Axolotl is Dry,7.0,12.67,2022,1,8,1,0,0,341
Non-Stop Raiders,6.0,3.08,2023,1,32,1,0,0,341
Bullet Hell Monday,7.0,19.5,2016,1,5,1,0,0,341
Physical Layer,7.0,19.0,0,1,32,1,0,0,341
Bad Pad,7.0,6.5,2018,1,8,1,0,0,341
Bumballon,7.0,20.0,2021,1,8,1,0,0,341
SuperTotalCarnage!,5.0,1.95,2022,1,5,1,0,0,3
Trivia Vault: Mini Mixed Trivia 2,5.0,1.08,2017,1,13,1,0,0,312
A Clumsy Flight,5.0,2.2,2022,1,10,1,0,0,341
Super Lone Survivor,7.0,14.67,2022,1,13,1,0,0,341
Home Run High,8.0,4.09,2017,1,13,34,0,0,195
Signed and Sealed With a Kiss,6.0,2.56,2018,1,13,44,0,0,3
Depths of Sanity,8.0,6.86,2020,1,31,1,0,0,3
Katana Soul,8.0,16.0,2019,1,31,1,0,0,322
Spring Bonus,8.0,4.0,2017,1,9,35,0,0,3
Loyalty and Blood: Viktor Origins,8.0,4.9,2018,1,31,1,0,0,3
Last Night of Winter,8.0,8.67,2022,1,12,1,0,0,341
Sakura Succubus 6,8.0,6.75,2022,1,13,42,0,0,410
Akai Katana Shin,8.0,13.25,2022,1,5,1,0,0,59
Froggie,8.0,30.0,2022,1,8,1,0,0,341
Tuin,6.0,3.69,2022,1,13,33,0,0,347
Rift Keeper,6.0,2.54,2019,1,8,1,0,0,341
Poptropica,5.0,1.86,2007,5,12,34,0,0,341
Plasma Puncher,8.0,10.83,2017,1,32,1,0,0,341
Astro Duel,8.0,16.75,2016,1,32,1,0,0,3
Magic Axolotl,8.0,34.5,2022,1,32,1,0,0,341
Burger Bistro Story,8.0,8.88,2021,1,9,28,0,0,195
Catie in MeowmeowLand,8.0,14.2,2022,1,2,27,0,0,341
The Ramen Sensei,8.0,6.17,2014,1,9,28,0,0,195
Breakers Collection,8.0,18.0,2023,1,4,1,0,0,3
Japanese Rail Sim: Journey to Kyoto,8.0,9.25,2019,1,13,34,0,0,341
Black Paradox,6.0,2.53,2018,1,5,1,0,0,3
The Cyclist: Tactics,8.0,25.67,2021,1,10,28,0,0,341
Super Skelemania,8.0,11.43,2017,1,8,1,0,0,341
Dawn of the Monsters,8.0,10.5,2022,1,4,1,0,0,3
Dogworld,8.0,23.0,2021,1,5,1,0,0,341
Starry Knight,8.0,5.47,2021,1,25,1,0,0,341
Apocalyptic Vibes,8.0,5.53,0,1,5,1,0,0,341
This Way Madness Lies,8.0,23.75,2022,1,12,17,0,0,3
Planet Cube: Edge,8.0,34.67,2023,1,5,1,0,0,341
Christmas Celebration With Sakuya Izayoi,8.0,7.64,2021,1,34,44,0,0,3
GunSuit Guardians,8.0,12.6,2023,1,12,1,0,0,223
Witch's Garden,8.0,24.17,2022,1,31,17,0,0,3
Witch's Garden,8.0,24.17,0,1,31,42,0,0,3
24 Killers,8.0,140.0,2023,1,31,17,0,0,341
Train Station Simulator,5.0,1.36,2017,1,8,28,0,0,341
Double,8.0,4.73,2019,1,31,1,0,0,341
Diary of Lucie,8.0,9.71,2023,1,5,1,0,0,341
Lucah: Born of a Dream,8.0,19.74,2018,1,12,1,0,0,341
Boom! Boom!,4.0,0.44,2019,1,32,1,0,0,3
Dungeon Bosses,4.0,0.5,2019,1,32,1,0,0,3
Christmas Cats Revenge,5.0,0.71,2020,1,32,1,0,0,22
Emberlight,8.0,3.82,2019,1,12,17,0,0,341
Emberlight,8.0,3.82,2019,1,12,17,0,0,341
Spider Solitaire F,5.0,0.75,2018,1,15,32,0,0,341
Restless Hero,5.0,1.6,2019,1,5,1,0,0,341
Widget Satchel,5.0,1.5,2019,1,8,1,0,0,341
Saturday of Piercing Screams,5.0,1.5,2019,1,8,1,0,0,3
Cursed Roots,7.0,4.5,2019,1,2,19,0,0,341
Pixboy,7.0,4.5,2020,1,8,1,0,0,341
Clowns,7.0,4.5,1978,1,33,1,0,0,3
The Tides of Time,7.0,3.0,2020,1,12,1,0,0,341
Lonia Saga 2,6.0,2.0,2019,1,12,1,0,0,341
Neither Day nor Night,5.0,1.25,2020,1,31,1,0,0,341
Snake,7.0,10.0,1997,1,33,1,0,0,3
Star99,7.0,10.0,2020,1,5,1,0,0,341
Leowald,7.0,5.5,2019,1,31,1,0,0,3
Zeus Begins,7.0,5.5,2019,1,5,1,0,0,341
Panic Diet!!,5.0,1.38,2019,1,32,1,0,0,341
Zombie Slayers,7.0,3.67,2020,1,32,1,0,0,341
Order from Caos,7.0,11.0,2020,1,12,17,0,0,3
Artillery Royale,6.0,2.75,2021,1,15,1,0,0,341
Wizhood: The Epic of Freedom,7.0,12.0,0,1,31,1,0,0,341
Hope; or How We Survived,7.0,12.0,0,1,32,1,0,0,341
Safe Climbing,7.0,4.0,2020,1,32,1,0,0,341
Gatlin',7.0,6.0,0,1,31,1,0,0,341
Cyberpunica 2.0.2.0,5.0,1.71,2020,1,9,42,0,0,3
8 Eyes,7.0,3.25,1988,1,8,1,0,0,341
Dr. Atominus,7.0,3.25,2020,1,8,1,0,0,341
White Girl,7.0,3.25,2018,1,2,17,0,0,341
Wild West Crops,7.0,3.25,2021,1,5,1,0,0,434
Rift Runner,6.0,2.6,2020,1,5,1,0,0,341
Blue Boy: Bleeding Out,7.0,14.0,2020,1,31,1,0,0,341
Double Pug Switch,7.0,4.67,2020,1,8,1,0,0,341
Black Ido,6.0,2.8,2021,1,31,1,0,0,103
DASH: Danger Action Speed Heroes,7.0,15.0,2019,1,32,1,0,0,341
Explosive Jake,5.0,2.0,2019,1,9,1,0,0,287
Draft Day Sports: Pro Football 2022,5.0,1.23,2021,1,13,28,0,0,341
Dungeon Origins,6.0,2.83,2020,1,15,1,0,0,341
Luciform,7.0,17.0,2021,1,8,1,0,0,341
Journey of the Broken Circle,7.0,3.4,2020,1,8,1,0,0,341
Argus Panoptes,7.0,17.0,2021,1,32,1,0,0,341
Rending Sky,4.0,0.6,2019,1,12,1,0,0,341
Whipseey and the Lost Atlas,6.0,2.11,2019,1,8,1,0,0,341
Aleesha's Tower,6.0,2.25,2019,1,31,1,0,0,3
Persephone,7.0,3.6,2020,1,9,17,0,0,341
Indiecalypse,5.0,0.75,2020,1,4,1,0,0,3
Tobari 2: Dream Ocean,7.0,18.0,2018,1,8,1,0,0,3
The Mutineer,7.0,6.0,2020,1,15,1,0,0,341
Raybound,7.0,18.0,2021,1,8,1,0,0,341
The Revolt: Awakening,7.0,19.0,0,1,31,1,0,0,341
Chipmonk!,7.0,4.75,2019,1,4,1,0,0,341
Deathless Dungeon,7.0,19.0,2019,1,31,1,0,0,341
Hero Express,7.0,9.5,2019,1,8,17,0,0,3
Dark Judgement,7.0,6.33,2020,1,25,1,0,0,341
Projection: First Light,7.0,5.0,2019,1,8,1,0,0,341
Mini Island: Night,7.0,20.0,2020,1,32,1,0,0,219
Super Indie Square,7.0,10.5,2019,1,31,1,0,0,341
AVA: Dark History,6.0,2.75,2020,1,8,1,0,0,103
Null Drifter,7.0,10.5,2019,1,5,1,0,0,279
Alt254,7.0,10.5,2020,1,9,17,0,0,341
Lorera,7.0,4.4,2020,1,8,1,0,0,341
Animal Up!,7.0,7.67,2019,1,8,1,0,0,133
Spirit Oath,7.0,6.0,2020,1,15,1,0,0,341
Chunker,6.0,2.18,2020,1,5,1,0,0,341
Guildmaster: Gratuitous Subtitle,7.0,4.8,2020,1,12,17,0,0,341
Two Parsecs From Earth,7.0,4.8,2020,1,8,1,0,0,341
UpWakeNing,7.0,24.0,2020,1,8,1,0,0,341
Super Neat Cat,7.0,6.0,2020,1,8,1,0,0,341
Bucket Knight,7.0,5.0,2019,1,5,1,0,0,287
Panmorphia,7.0,6.25,2014,1,2,17,0,0,341
Copperbell,7.0,8.67,2019,1,8,1,0,0,3
Awesome Pea 2,7.0,6.5,2020,1,8,1,0,0,287
Magic Potion Millionaire,7.0,8.67,2020,1,8,1,0,0,341
Mixx Island: Remix,7.0,8.67,2021,1,5,1,0,0,219
Cake Invaders,7.0,8.67,2021,1,5,1,0,0,422
Brother Brother,7.0,27.0,2019,1,12,1,0,0,341
Alexio,7.0,9.0,2021,1,8,1,0,0,341
12 Labours of Hercules IX: A Hero's Moonwalk,7.0,14.0,2019,1,9,17,0,0,188
Wizodd,7.0,3.5,2020,1,5,1,0,0,151
Miner Ultra Rag Smash,7.0,4.0,2020,2,4,1,0,0,343
Glitch's Trip,7.0,7.25,2020,1,8,1,0,0,3
StoneTide: Age of Pirates,5.0,2.07,2019,1,12,1,0,0,341
Skjoldur Story,7.0,4.83,2021,1,12,1,0,0,341
Armortale,7.0,5.8,2019,1,31,1,0,0,341
